Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2019-12-31,18,USD,2019,FY,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-2515000000.0,-29491000000.0,,-268000000.0,-18396000000.0,-23209000000.0,1797000000
2020-12-31,18,USD,2020,FY,2021-02-03,2023-02-03,13616320000.0,14664200000.0,40269000000.0,12905000000.0,10123000000.0,1827000000.0,,,,,65124000000.0,-22281000000.0,-9822000000.0,-738000000.0,-32773000000.0,,9661000000.0,-31149000000.0,-24408000000.0,7967000000
2021-12-31,18,USD,2021,FY,2022-02-02,2024-01-31,13315160000.0,13530380000.0,76033000000.0,10273000000.0,6869000000.0,-1523000000.0,,,,,91652000000.0,-24640000000.0,-8806000000.0,-2618000000.0,-35523000000.0,,-1236000000.0,-50274000000.0,-61362000000.0,-5520000000
2022-12-31,18,USD,2022,FY,2023-02-03,2025-02-05,13352993991.0,13553473900.0,59972000000.0,13475000000.0,20283000000.0,-2235000000.0,-2317000000.0,,707000000.0,-625000000.0,91495000000.0,-31485000000.0,16567000000.0,-6969000000.0,-20298000000.0,0.0,-1196000000.0,-59296000000.0,-69757000000.0,934000000
2023-12-31,18,USD,2023,FY,2024-01-31,2025-02-05,12581000000.0,12696000000.0,73795000000.0,11946000000.0,19850000000.0,-3845000000.0,-7833000000.0,,664000000.0,3324000000.0,101746000000.0,-32251000000.0,6734000000.0,-495000000.0,-27063000000.0,0.0,-760000000.0,-61504000000.0,-72093000000.0,2169000000
