Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
2019-12-31,18,USD,2019,Q4,2020-02-04,2021-02-03,13851920000.0,14901660000.0,119675000000.0,25326000000.0,999000000.0,152578000000.0,73646000000.0,13078000000.0,36607000000.0,123331000000.0,275909000000,43313000000.0,,45221000000.0,4554000000.0,29246000000.0,74467000000.0,50552000000.0,,152122000000.0,201442000000,275909000000
2020-12-31,18,USD,2020,Q4,2021-02-03,2022-02-02,13616320000.0,14664200000.0,136694000000.0,30930000000.0,728000000.0,174296000000.0,84749000000.0,20703000000.0,39868000000.0,145320000000.0,319616000000,54291000000.0,,56834000000.0,13932000000.0,40238000000.0,97072000000.0,58510000000.0,,163401000000.0,222544000000,319616000000
2021-12-31,18,USD,2021,Q4,2022-02-02,2023-02-03,13315160000.0,13530380000.0,139649000000.0,39304000000.0,1170000000.0,188143000000.0,97599000000.0,29549000000.0,43977000000.0,171125000000.0,359268000000,60966000000.0,,64254000000.0,14817000000.0,43379000000.0,107633000000.0,61774000000.0,,191484000000.0,251635000000,359268000000
2022-12-31,18,USD,2022,Q4,2023-02-03,2024-01-31,13352993991.0,13553473900.0,113762000000.0,40258000000.0,,164795000000.0,112668000000.0,30492000000.0,57309000000.0,200469000000.0,365264000000,65392000000.0,,69300000000.0,14701000000.0,39820000000.0,109120000000.0,68184000000.0,,195563000000.0,256144000000,365264000000
2023-12-31,18,USD,2023,Q4,2024-01-31,2025-02-05,12581000000.0,12696000000.0,110916000000.0,47964000000.0,,171530000000.0,134345000000.0,31008000000.0,65509000000.0,230862000000.0,402392000000,77677000000.0,,81814000000.0,11870000000.0,37199000000.0,119013000000.0,76534000000.0,,211247000000.0,283379000000,402392000000
