Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
2021-12-31,18,USD,2021,Q4,2022-02-02,2023-02-03,13101920000.0,10620140000.0,139649000000.0,39304000000.0,1170000000.0,188143000000.0,97599000000.0,29549000000.0,43977000000.0,171125000000.0,359268000000,60966000000.0,,64254000000.0,14817000000.0,43379000000.0,107633000000.0,61774000000.0,,191484000000.0,251635000000.0,359268000000
2022-03-31,18,USD,2022,Q1,2022-04-27,2022-04-27,13253260000.0,13449860000.0,133970000000.0,34703000000.0,1369000000.0,177853000000.0,104218000000.0,30544000000.0,44481000000.0,179243000000.0,357096000000,58750000000.0,,61948000000.0,14791000000.0,41144000000.0,103092000000.0,0.0,,195221000000.0,254004000000.0,357096000000
2022-06-30,18,USD,2022,Q2,2022-07-27,2022-07-27,13133000000.0,13239000000.0,124997000000.0,35707000000.0,1980000000.0,172371000000.0,106223000000.0,30665000000.0,45926000000.0,182814000000.0,355185000000,58082000000.0,,61354000000.0,14734000000.0,38412000000.0,99766000000.0,0.0,,196845000000.0,255419000000.0,355185000000
2022-09-30,18,USD,2022,Q3,2022-10-26,2022-10-26,13018000000.0,13097000000.0,116259000000.0,34697000000.0,3156000000.0,166109000000.0,108363000000.0,30419000000.0,53364000000.0,192146000000.0,358255000000,62394000000.0,,65979000000.0,14653000000.0,38650000000.0,104629000000.0,66258000000.0,,196220000000.0,253626000000.0,358255000000
2022-12-31,18,USD,2022,Q4,2023-02-03,2024-01-31,14007715964.0,14428035600.0,113762000000.0,40258000000.0,,164795000000.0,112668000000.0,30492000000.0,57309000000.0,200469000000.0,365264000000,65392000000.0,,69300000000.0,14701000000.0,39820000000.0,109120000000.0,68184000000.0,,195563000000.0,256144000000.0,365264000000
2023-03-31,18,USD,2023,Q1,2023-04-26,2023-04-26,12781000000.0,12823000000.0,115102000000.0,36036000000.0,2315000000.0,161985000000.0,117560000000.0,31213000000.0,58733000000.0,207506000000.0,369491000000,65139000000.0,,68854000000.0,13697000000.0,39743000000.0,108597000000.0,70269000000.0,,196625000000.0,260894000000.0,369491000000
2023-06-30,18,USD,2023,Q2,2023-07-26,2023-07-26,12668000000.0,12764000000.0,118332000000.0,38804000000.0,2231000000.0,168788000000.0,121208000000.0,31224000000.0,61824000000.0,214256000000.0,383044000000,73863000000.0,,77709000000.0,13705000000.0,38194000000.0,115903000000.0,72248000000.0,,200884000000.0,267141000000.0,383044000000
2023-09-30,18,USD,2023,Q3,2023-10-25,2023-10-25,12581000000.0,12696000000.0,119935000000.0,41020000000.0,2957000000.0,176310000000.0,125705000000.0,30907000000.0,63789000000.0,220401000000.0,396711000000,81992000000.0,,86295000000.0,13781000000.0,37214000000.0,123509000000.0,74591000000.0,,205647000000.0,273202000000.0,396711000000
2023-12-31,18,USD,2023,Q4,2024-01-31,2025-02-05,12581000000.0,12696000000.0,110916000000.0,47964000000.0,,171530000000.0,134345000000.0,31008000000.0,65509000000.0,230862000000.0,402392000000,77677000000.0,,81814000000.0,11870000000.0,37199000000.0,119013000000.0,76534000000.0,,211247000000.0,283379000000.0,402392000000
2024-03-31,18,USD,2024,Q1,2024-04-26,2024-04-26,12581000000.0,12696000000.0,108090000000.0,44552000000.0,,165471000000.0,143182000000.0,33994000000.0,64703000000.0,241879000000.0,407350000000,73024000000.0,,76997000000.0,13228000000.0,37509000000.0,114506000000.0,77913000000.0,,219770000000.0,292844000000.0,407350000000
