Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2019-12-31,62747,USD,2019,FY,2020-01-31,2022-02-04,9880000000.0,10080000000.0,11588000000.0,21789000000.0,7575000000.0,-2438000000.0,-7681000000.0,-3278000000.0,8193000000.0,328000000.0,38514000000.0,-12689000000.0,-9131000000.0,-2461000000.0,-24281000000.0,,-10066000000.0,,-10066000000.0,4237000000
2020-12-31,62747,USD,2020,FY,2021-02-03,2023-02-03,10000000000.0,10200000000.0,21331000000.0,25180000000.0,6072000000.0,13481000000.0,,,,,66064000000.0,-40140000000.0,-22242000000.0,-2325000000.0,-59611000000.0,,-1104000000.0,,-1104000000.0,5967000000
2021-12-31,62747,USD,2021,FY,2022-02-04,2024-02-02,10100000000.0,10100000000.0,33364000000.0,34433000000.0,-1859000000.0,-19611000000.0,,,,,46327000000.0,-55396000000.0,-773000000.0,-1985000000.0,-58154000000.0,,6291000000.0,,6291000000.0,-5900000000
2022-12-31,62747,USD,2022,FY,2023-01-28,2025-02-07,10189000000.0,10189000000.0,-2722000000.0,41921000000.0,28439000000.0,-20886000000.0,,,,,46752000000.0,-58321000000.0,29036000000.0,,-37601000000.0,,15718000000.0,-6000000000.0,9718000000.0,17776000000
2023-12-31,62747,USD,2023,FY,2024-01-27,2025-02-07,10304000000.0,10492000000.0,30425000000.0,48663000000.0,17399000000.0,-11541000000.0,,,,,84946000000.0,-48133000000.0,4139000000.0,,-49833000000.0,,-15879000000.0,,-15879000000.0,19637000000
