Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
2021-12-31,62747,USD,2021,Q4,2022-02-04,2023-02-03,10100000000.0,9560000000.0,96049000000.0,32891000000.0,32640000000.0,161580000000.0,160281000000.0,,98688000000.0,258969000000.0,420549000000,130439000000.0,,142266000000.0,48744000000.0,140038000000.0,282304000000.0,55543000000.0,-1837000000.0,85915000000.0,138245000000.0,420549000000
2022-03-31,62747,USD,2022,Q1,2022-04-29,2022-04-29,10180000000.0,10180000000.0,66385000000.0,32504000000.0,34987000000.0,133876000000.0,168468000000.0,,108423000000.0,276891000000.0,410767000000,126688000000.0,,139508000000.0,47556000000.0,137258000000.0,276766000000.0,58798000000.0,-4503000000.0,82071000000.0,134001000000.0,410767000000
2022-06-30,62747,USD,2022,Q2,2022-07-29,2022-07-29,10175000000.0,10175000000.0,60710000000.0,34804000000.0,38153000000.0,133667000000.0,173706000000.0,,112355000000.0,286061000000.0,419728000000,127473000000.0,,140291000000.0,58053000000.0,148035000000.0,288326000000.0,63978000000.0,-7837000000.0,80043000000.0,131402000000.0,419728000000
2022-09-30,62747,USD,2022,Q3,2022-10-28,2022-10-28,10191000000.0,10331000000.0,58662000000.0,36154000000.0,36647000000.0,131463000000.0,177195000000.0,,119704000000.0,296899000000.0,428362000000,127734000000.0,,140363000000.0,58919000000.0,150510000000.0,290873000000.0,69526000000.0,-7837000000.0,82915000000.0,137489000000.0,428362000000
2022-12-31,62747,USD,2022,Q4,2023-02-03,2024-02-02,10210000000.0,10070000000.0,70026000000.0,,34405000000.0,146791000000.0,186715000000.0,,129169000000.0,315884000000.0,462675000000,142166000000.0,,155393000000.0,67150000000.0,161239000000.0,316632000000.0,75174000000.0,-7837000000.0,83193000000.0,146043000000.0,462675000000
2023-03-31,62747,USD,2023,Q1,2023-04-28,2023-04-28,10250000000.0,10347000000.0,64405000000.0,37646000000.0,34170000000.0,136221000000.0,190754000000.0,,137403000000.0,328157000000.0,464378000000,133289000000.0,,147570000000.0,67084000000.0,162282000000.0,309852000000.0,79971000000.0,-7837000000.0,86365000000.0,154526000000.0,464378000000
2023-06-30,62747,USD,2023,Q2,2023-08-04,2023-08-04,10384615384.0,10449000000.0,63970000000.0,39925000000.0,36587000000.0,140482000000.0,193784000000.0,,143341000000.0,337125000000.0,477607000000,133716000000.0,,148238000000.0,63092000000.0,160767000000.0,309005000000.0,87004000000.0,-7837000000.0,93115000000.0,168602000000.0,477607000000
2023-09-30,62747,USD,2023,Q3,2023-10-27,2023-10-27,10322000000.0,10558000000.0,64169000000.0,43420000000.0,35406000000.0,142995000000.0,196468000000.0,,147420000000.0,343888000000.0,486883000000,130816000000.0,,145214000000.0,61098000000.0,158696000000.0,303910000000.0,92819000000.0,-7837000000.0,102994000000.0,182973000000.0,486883000000
2023-12-31,62747,USD,2023,Q4,2024-02-02,2025-02-07,10259384616.0,10614000000.0,86780000000.0,52253000000.0,33318000000.0,172351000000.0,204177000000.0,,151326000000.0,355503000000.0,527854000000,149690000000.0,,164917000000.0,58314000000.0,161062000000.0,325979000000.0,99134000000.0,-7837000000.0,113618000000.0,201875000000.0,527854000000
2024-03-31,62747,USD,2024,Q1,2024-05-01,2024-05-01,10393000000.0,10670000000.0,85074000000.0,47768000000.0,31147000000.0,163989000000.0,209950000000.0,,157030000000.0,366980000000.0,530969000000,137038000000.0,,152965000000.0,57634000000.0,161343000000.0,314308000000.0,104047000000.0,-7837000000.0,124049000000.0,216661000000.0,530969000000
