Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
2019-12-31,62747,USD,2019,FY,2020-01-31,2022-02-04,9880000000.0,10080000000.0,280522000000.0,-165536000000.0,114986000000.0,-100445000000.0,-24081000000.0,,,14541000000.0,-565000000.0,-768000000.0,13976000000.0,,13976000000.0,-2374000000.0,11588000000,,11588000000,11588000000
2020-12-31,62747,USD,2020,FY,2021-02-03,2023-02-03,10000000000.0,10200000000.0,386064000000.0,-233307000000.0,152757000000.0,-129858000000.0,-28676000000.0,,,22899000000.0,1279000000.0,-1092000000.0,24178000000.0,,24178000000.0,-2863000000.0,21331000000,,21331000000,21331000000
2021-12-31,62747,USD,2021,FY,2022-02-04,2024-02-02,10100000000.0,10100000000.0,469822000000.0,-272344000000.0,197478000000.0,-172599000000.0,-41374000000.0,,,24879000000.0,13272000000.0,-1361000000.0,38151000000.0,,38151000000.0,-4791000000.0,33364000000,,33364000000,33364000000
2022-12-31,62747,USD,2022,FY,2023-02-03,2025-02-07,10189000000.0,10189000000.0,513983000000.0,-288831000000.0,225152000000.0,-212904000000.0,-54129000000.0,,,12248000000.0,-18184000000.0,-1378000000.0,-5936000000.0,,-5936000000.0,3217000000.0,-2722000000,,-2722000000,-2722000000
2023-12-31,62747,USD,2023,FY,2024-02-02,2025-02-07,10304000000.0,10492000000.0,574785000000.0,-304739000000.0,270046000000.0,-233194000000.0,-56186000000.0,,,36852000000.0,705000000.0,-233000000.0,37557000000.0,,37557000000.0,-7120000000.0,30425000000,,30425000000,30425000000
