Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
2019-12-31,62747,USD,2019,Q4,2020-01-31,2021-02-03,9880000000.0,10080000000.0,55021000000.0,20816000000.0,20497000000.0,96334000000.0,72705000000.0,,56209000000.0,128914000000.0,225248000000,79622000000.0,,87812000000.0,23414000000.0,75376000000.0,163188000000.0,33663000000.0,-1837000000.0,31220000000.0,62060000000,225248000000
2020-12-31,62747,USD,2020,Q4,2021-02-03,2022-02-04,10000000000.0,10200000000.0,84396000000.0,24542000000.0,23795000000.0,132733000000.0,113114000000.0,,75348000000.0,188462000000.0,321195000000,116677000000.0,,126385000000.0,31816000000.0,101406000000.0,227791000000.0,42870000000.0,-1837000000.0,52551000000.0,93404000000,321195000000
2021-12-31,62747,USD,2021,Q4,2022-02-04,2023-02-03,10100000000.0,10100000000.0,96049000000.0,32891000000.0,32640000000.0,161580000000.0,160281000000.0,,98688000000.0,258969000000.0,420549000000,130439000000.0,,142266000000.0,48744000000.0,140038000000.0,282304000000.0,55543000000.0,-1837000000.0,85915000000.0,138245000000,420549000000
2022-12-31,62747,USD,2022,Q4,2023-02-03,2024-02-02,10189000000.0,10189000000.0,70026000000.0,,34405000000.0,146791000000.0,186715000000.0,,129169000000.0,315884000000.0,462675000000,142166000000.0,,155393000000.0,67150000000.0,161239000000.0,316632000000.0,75174000000.0,-7837000000.0,83193000000.0,146043000000,462675000000
2023-12-31,62747,USD,2023,Q4,2024-02-02,2025-02-07,10304000000.0,10492000000.0,86780000000.0,52253000000.0,33318000000.0,172351000000.0,204177000000.0,,151326000000.0,355503000000.0,527854000000,149690000000.0,,164917000000.0,58314000000.0,161062000000.0,325979000000.0,99134000000.0,-7837000000.0,113618000000.0,201875000000,527854000000
